"Season","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR"
"2001","61371","186976","5458","23199","22088","3103","8.5%","17.3%",".163",".296",".264",".332",".427",".327","","96","0.4","-935.1","469.1","570.0"
"2002","68340","186615","5059","22408","21332","2750","8.7%","16.8%",".155",".293",".261",".331",".417",".326","","96","-1.8","-861.5","347.1","569.1"
"2003","68519","187449","5207","22978","21886","2573","8.5%","16.4%",".158",".294",".264",".333",".422",".328","","96","-0.2","-895.0","386.9","570.0"
"2004","68880","188539","5451","23376","22248","2589","8.6%","16.9%",".162",".297",".266",".335",".428",".330","","96","0.3","-929.0","385.2","569.5"
"2005","68432","186294","5017","22326","21248","2565","8.2%","16.4%",".154",".295",".264",".330",".419",".326","","96","0.1","-834.6","349.3","570.2"
